Plugin,Category,Source,Helps with,Install priority,Account/API,Platform,Risk
quicknode,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
render,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
sendgrid,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
sentry,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
statsig,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
supabase,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
superpowers,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
temporal,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
test-android-apps,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
twilio-developer-kit,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
vantage,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
vercel,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
yepcode,Coding,OpenAI fork,Coding assistance & workflows,Install first,Usually (OAuth),Windows OK,Low
biorender,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
canva,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
figma,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
heygen,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
hyperframes,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
remotion,Design,OpenAI fork,UI/UX design & systems,Install later,Usually (OAuth),Windows OK,Low
datadog,Developer Tools,OpenAI fork,General dev tooling,Install later,Usually (OAuth),Windows OK,Low
openai-developers,Engineering,OpenAI fork,Engineering workflows,Install later,Usually (OAuth),Windows OK,Low
cogedim,Lifestyle,OpenAI fork,Lifestyle/consumer,Install later,Usually (OAuth),Windows OK,Low
finn,Lifestyle,OpenAI fork,Lifestyle/consumer,Install later,Usually (OAuth),Windows OK,Low
myregistry-com,Lifestyle,OpenAI fork,Lifestyle/consumer,Install later,Usually (OAuth),Windows OK,Low
setu-bharat-connect-billpay,Lifestyle,OpenAI fork,Lifestyle/consumer,Install later,Usually (OAuth),Windows OK,Low
weatherpromise,Lifestyle,OpenAI fork,Lifestyle/consumer,Install later,Usually (OAuth),Windows OK,Low
airtable,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
amplitude,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
apollo,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
asana,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
atlassian-rovo,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
attio,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
brand24,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
brex,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
calendly,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
carta-crm,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
channel99,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
circleback,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
clay,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
clickup,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
close,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
common-room,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
conductor,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
coupler-io,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
coveo,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
datasite,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
deepnote,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
demandbase,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
docket,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
docusign,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
domotz-preview,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
dovetail,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
egnyte,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
fireflies,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
fyxer,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
gmail,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
google-calendar,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
granola,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
happenstance,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
help-scout,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
hg-insights,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
highlevel,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
hubspot,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
jam,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
keybid-puls,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
linear,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
mem,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
meticulate,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
mixpanel,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
mixpanel-headless,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
monday-com,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
motherduck,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
network-solutions,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
notion,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
omni-analytics,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
otter-ai,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
outlook-calendar,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
outlook-email,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
pipedrive,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
pylon,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
ranked-ai,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
razorpay,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
read-ai,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
responsive,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
rox,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
semrush,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
sharepoint,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
signnow,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
similarweb,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
skywatch,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
slack,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
streak,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
stripe,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
teams,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
teamwork-com,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
thoughtspot,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
united-rentals,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
waldo,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
windsor-ai,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
zoom,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
zoominfo,Productivity,OpenAI fork,Productivity & ops workflows,Install first,Usually (OAuth),Windows OK,Low
aiera,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
alpaca,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
binance,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
cb-insights,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
cube,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
daloopa,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
dow-jones-factiva,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
factset,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
govtribe,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
life-science-research,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
lseg,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
midpage,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
moody-s,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
morningstar,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
mt-newswires,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
particl-market-research,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
pitchbook,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
policynote,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
quartr,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
readwise,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
s-p,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
scite,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
taxdown,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
third-bridge,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
tinman-ai,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
zotero,Research,OpenAI fork,Web/literature research,Install first,Usually (OAuth),Windows OK,Low
codex-security,Security,OpenAI fork,Security/secret/dependency scanning,Install later,Usually (OAuth),Windows OK,Low
